latitud,longitud,fecha,estado
-3.9409,-55.5062,2015-09-28,incendio
31.25,89.75,2022-09-16,enfermo_sequia
21.25,101.25,2021-03-16,enfermo_sequia
70.25,153.25,2023-10-16,enfermo_sequia
-9.75,-71.75,2023-10-16,enfermo_sequia
-1.4886,103.4675,2015-06-30,incendio
32.75,-5.25,2024-04-16,enfermo_sequia
3.650917891468182,23.31999217427233,2020-06-01/2020-09-01,sano
-4.125238378577018,-56.98012657767569,2020-06-01/2020-09-01,sano
50.726831581874855,-91.3026794459687,2000-06-01/2000-09-01,sano
45.7176,-95.6706,2015-04-29,incendio
63.25,52.25,2023-02-15,enfermo_sequia
54.75,90.25,2022-06-16,enfermo_sequia
56.75,-68.25,2020-03-16,enfermo_sequia
-17.616600004673522,-64.50248302191525,2020-06-01/2020-09-01,sano
50.33935647736217,15.069520172062928,2021-09-30,enfermo_plaga
49.9540761572036,17.38743466753355,2018-09-30,enfermo_plaga
36.25,1.25,2021-03-16,enfermo_sequia
20.75,49.25,2023-10-16,enfermo_sequia
34.25,5.75,2023-05-16,enfermo_sequia
31.75,-4.25,2020-05-16,enfermo_sequia
68.25,147.75,2020-04-16,enfermo_sequia
43.75,3.25,2023-11-16,enfermo_sequia
46.25,90.75,2022-12-16,enfermo_sequia
-13.25,-57.25,2020-04-16,enfermo_sequia
-3.3013,-50.5493,2015-10-03,incendio
67.75,-117.25,2024-12-16,enfermo_sequia
46.2532,-114.7887,2015-08-26,incendio
83.25,-33.75,2023-09-16,enfermo_sequia
28.75,17.25,2024-05-16,enfermo_sequia
68.75,132.75,2021-04-16,enfermo_sequia
-3.7054453966358,-60.748298090559565,2020-06-01/2020-09-01,sano
63.25,128.25,2020-09-16,enfermo_sequia
-12.9777,-60.5611,2015-09-11,incendio
75.25,146.25,2021-12-16,enfermo_sequia
59.75,-102.75,2024-01-16,enfermo_sequia
27.25,7.25,2021-12-16,enfermo_sequia
59.25,54.75,2023-09-16,enfermo_sequia
49.362558056565454,16.1486134975652,2018-09-30,enfermo_plaga
-22.25,-60.75,2022-12-16,enfermo_sequia
29.25,-105.75,2023-10-16,enfermo_sequia
60.15508712165551,71.01806426321119,2000-06-01/2000-09-01,sano
65.75,-68.75,2020-02-15,enfermo_sequia
71.75,-105.25,2023-08-16,enfermo_sequia
60.1226898587049,95.20392552251404,2016-06-01/2016-09-01,sano
30.25,22.75,2021-10-16,enfermo_sequia
31.25,47.75,2022-12-16,enfermo_sequia
-5.790597812076554,-56.03123430250113,2016-06-01/2016-09-01,sano
31.25,66.75,2022-05-16,enfermo_sequia
-3.0828,-53.106,2015-12-04,incendio
2.4099,117.9314,2015-08-17,incendio
26.75,6.75,2022-10-16,enfermo_sequia
25.75,-108.25,2021-04-16,enfermo_sequia
36.75,10.25,2022-05-16,enfermo_sequia
63.75,69.75,2023-05-16,enfermo_sequia
